Date,Time (Local),Eyeballs ,Zeroes ,Completed Calls,Requests ,Unique Agents
15-Sep-12,1,37,1,12,14,18
15-Sep-12,2,38,17,22,27,12
15-Sep-12,3,17,2,5,7,8
15-Sep-12,4,5,1,0,0,1
15-Sep-12,5,1,1,0,1,0
15-Sep-12,6,3,3,0,0,0
15-Sep-12,7,9,7,1,1,1
15-Sep-12,8,13,10,2,3,2
15-Sep-12,9,14,9,1,3,2
15-Sep-12,10,20,5,2,3,2
15-Sep-12,11,23,5,2,2,3
15-Sep-12,12,28,11,2,2,3
15-Sep-12,13,34,6,6,7,4
15-Sep-12,14,34,11,6,10,6
15-Sep-12,15,31,15,3,8,5
15-Sep-12,16,20,3,4,5,8
15-Sep-12,17,42,9,8,8,10
15-Sep-12,18,59,25,15,25,10
15-Sep-12,19,73,38,17,34,14
15-Sep-12,20,53,15,13,20,17
15-Sep-12,21,59,4,15,20,19
15-Sep-12,22,69,26,24,34,16
15-Sep-12,23,61,32,16,24,13
16-Sep-12,0,44,2,17,20,15
16-Sep-12,1,38,3,17,17,15
16-Sep-12,2,29,2,13,15,12
16-Sep-12,3,14,2,4,6,7
16-Sep-12,4,6,6,0,3,2
16-Sep-12,5,5,5,0,1,1
16-Sep-12,6,3,3,0,2,0
16-Sep-12,7,3,0,0,0,1
16-Sep-12,8,8,2,1,2,3
16-Sep-12,9,11,3,3,3,3
16-Sep-12,10,20,2,1,1,4
16-Sep-12,11,19,5,2,2,4
16-Sep-12,12,18,3,3,4,7
16-Sep-12,13,21,4,0,0,5
16-Sep-12,14,23,13,4,7,5
16-Sep-12,15,14,3,3,3,7
16-Sep-12,16,25,5,3,3,10
16-Sep-12,17,17,2,2,3,10
16-Sep-12,18,18,1,3,3,10
16-Sep-12,19,16,2,1,2,8
16-Sep-12,20,25,10,7,10,7
16-Sep-12,21,25,11,5,5,6
16-Sep-12,22,13,2,2,3,4
16-Sep-12,23,11,2,2,3,4
17-Sep-12,0,11,5,0,2,2
17-Sep-12,1,6,6,0,2,0
17-Sep-12,2,3,3,0,1,0
17-Sep-12,3,1,1,0,0,0
17-Sep-12,4,2,1,0,1,0
17-Sep-12,5,4,1,1,1,4
17-Sep-12,6,7,0,4,4,5
17-Sep-12,7,11,4,0,0,8
17-Sep-12,8,6,1,1,1,10
17-Sep-12,9,16,0,4,4,10
17-Sep-12,10,21,4,1,3,10
17-Sep-12,11,11,4,0,0,9
17-Sep-12,12,13,1,2,2,9
17-Sep-12,13,19,3,1,2,8
17-Sep-12,14,19,3,0,1,8
17-Sep-12,15,20,3,1,1,8
17-Sep-12,16,23,7,3,5,7
17-Sep-12,17,23,3,8,10,9
17-Sep-12,18,35,7,8,9,12
17-Sep-12,19,31,6,8,9,13
17-Sep-12,20,21,2,4,4,11
17-Sep-12,21,27,3,2,3,8
17-Sep-12,22,18,1,6,6,8
17-Sep-12,23,29,7,3,7,5
18-Sep-12,0,28,18,3,13,4
18-Sep-12,1,4,2,2,2,1
18-Sep-12,2,9,9,0,7,0
18-Sep-12,3,4,4,0,3,0
18-Sep-12,4,1,1,0,0,0
18-Sep-12,5,2,0,0,0,0
18-Sep-12,6,2,0,0,0,3
18-Sep-12,7,9,1,3,3,5
18-Sep-12,8,11,1,2,2,9
18-Sep-12,9,15,1,0,1,11
18-Sep-12,10,16,2,0,1,9
18-Sep-12,11,12,2,2,4,9
18-Sep-12,12,18,2,3,3,10
18-Sep-12,13,17,3,0,0,11
18-Sep-12,14,20,2,1,4,7
18-Sep-12,15,17,4,1,3,7
18-Sep-12,16,20,5,3,3,6
18-Sep-12,17,18,4,3,4,7
18-Sep-12,18,17,4,1,1,9
18-Sep-12,19,26,4,6,8,8
18-Sep-12,20,21,3,2,5,5
18-Sep-12,21,24,6,4,5,5
18-Sep-12,22,17,5,5,6,4
18-Sep-12,23,14,11,1,3,4
19-Sep-12,0,9,1,0,0,3
19-Sep-12,1,3,0,0,0,3
19-Sep-12,2,3,0,2,2,1
19-Sep-12,3,1,1,0,1,0
19-Sep-12,4,1,1,0,0,0
19-Sep-12,5,2,0,0,0,1
19-Sep-12,6,7,1,2,3,5
19-Sep-12,7,8,0,2,2,7
19-Sep-12,8,11,1,2,2,6
19-Sep-12,9,14,3,0,0,10
19-Sep-12,10,12,3,0,2,12
19-Sep-12,11,16,3,4,5,12
19-Sep-12,12,19,3,1,1,11
19-Sep-12,13,14,4,3,4,7
19-Sep-12,14,9,2,1,1,8
19-Sep-12,15,17,2,0,0,9
19-Sep-12,16,22,5,2,4,10
19-Sep-12,17,22,1,2,3,16
19-Sep-12,18,28,5,3,3,13
19-Sep-12,19,18,2,2,2,13
19-Sep-12,20,19,1,2,2,12
19-Sep-12,21,25,2,2,5,10
19-Sep-12,22,23,3,9,10,9
19-Sep-12,23,16,2,2,2,8
20-Sep-12,0,10,4,2,3,4
20-Sep-12,1,1,0,0,1,1
20-Sep-12,2,2,2,0,1,0
20-Sep-12,3,2,2,0,2,0
20-Sep-12,4,2,2,0,0,0
20-Sep-12,5,1,1,0,0,0
20-Sep-12,6,3,1,1,1,2
20-Sep-12,7,5,2,2,2,4
20-Sep-12,8,7,1,1,2,6
20-Sep-12,9,11,2,1,2,7
20-Sep-12,10,16,2,2,2,9
20-Sep-12,11,15,3,2,3,12
20-Sep-12,12,16,2,3,3,12
20-Sep-12,13,15,2,0,0,11
20-Sep-12,14,19,4,1,2,11
20-Sep-12,15,18,5,2,3,12
20-Sep-12,16,21,2,4,5,9
20-Sep-12,17,37,4,5,9,8
20-Sep-12,18,26,5,3,4,11
20-Sep-12,19,36,7,14,16,13
20-Sep-12,20,26,3,4,6,11
20-Sep-12,21,30,5,6,8,13
20-Sep-12,22,40,7,12,15,13
20-Sep-12,23,16,0,5,5,10
21-Sep-12,0,22,1,10,11,9
21-Sep-12,1,9,1,5,5,7
21-Sep-12,2,5,0,1,2,5
21-Sep-12,3,3,3,0,0,0
21-Sep-12,4,0,0,0,0,0
21-Sep-12,5,1,1,0,0,0
21-Sep-12,6,6,3,0,2,2
21-Sep-12,7,7,3,0,0,4
21-Sep-12,8,3,0,0,0,6
21-Sep-12,9,8,0,1,1,7
21-Sep-12,10,17,4,0,1,8
21-Sep-12,11,23,5,1,1,10
21-Sep-12,12,22,3,1,1,9
21-Sep-12,13,34,4,5,7,9
21-Sep-12,14,35,5,9,10,12
21-Sep-12,15,30,3,4,7,12
21-Sep-12,16,49,4,11,12,15
21-Sep-12,17,68,25,26,26,20
21-Sep-12,18,62,6,15,22,26
21-Sep-12,19,47,3,16,19,30
21-Sep-12,20,63,8,14,21,28
21-Sep-12,21,59,8,12,17,27
21-Sep-12,22,73,4,23,29,26
21-Sep-12,23,94,30,36,46,26
22-Sep-12,0,62,4,19,27,27
22-Sep-12,1,39,5,17,24,24
22-Sep-12,2,30,0,9,18,12
22-Sep-12,3,11,3,3,3,8
22-Sep-12,4,6,4,2,3,1
22-Sep-12,5,5,4,1,2,0
22-Sep-12,6,5,5,0,1,0
22-Sep-12,7,8,3,0,0,1
22-Sep-12,8,15,5,3,5,3
22-Sep-12,9,15,5,1,1,6
22-Sep-12,10,30,7,3,3,9
22-Sep-12,11,33,6,5,7,9
22-Sep-12,12,34,5,12,14,9
22-Sep-12,13,61,25,12,17,10
22-Sep-12,14,62,10,16,21,15
22-Sep-12,15,75,15,18,23,16
22-Sep-12,16,58,17,15,18,16
22-Sep-12,17,41,2,8,10,20
22-Sep-12,18,49,7,11,13,16
22-Sep-12,19,43,10,21,24,15
22-Sep-12,20,49,4,7,14,18
22-Sep-12,21,53,3,15,19,21
22-Sep-12,22,77,11,25,33,19
22-Sep-12,23,99,59,25,44,17
23-Sep-12,0,62,25,23,32,18
23-Sep-12,1,38,1,15,23,18
23-Sep-12,2,34,4,13,18,18
23-Sep-12,3,19,1,9,9,16
23-Sep-12,4,1,0,0,1,4
23-Sep-12,5,9,9,0,4,0
23-Sep-12,6,8,7,1,1,1
23-Sep-12,7,7,3,2,2,2
23-Sep-12,8,13,3,0,0,4
23-Sep-12,9,14,4,0,1,6
23-Sep-12,10,19,3,2,2,9
23-Sep-12,11,20,3,3,5,8
23-Sep-12,12,25,3,2,4,8
23-Sep-12,13,15,4,3,3,9
23-Sep-12,14,20,2,4,4,7
23-Sep-12,15,22,4,0,2,9
23-Sep-12,16,22,0,7,8,11
23-Sep-12,17,31,9,4,6,12
23-Sep-12,18,36,4,8,11,12
23-Sep-12,19,32,9,4,6,11
23-Sep-12,20,29,6,3,3,7
23-Sep-12,21,24,6,3,4,5
23-Sep-12,22,17,2,2,2,6
23-Sep-12,23,9,3,3,3,3
24-Sep-12,0,7,2,1,2,2
24-Sep-12,1,7,7,0,0,0
24-Sep-12,2,3,3,0,2,0
24-Sep-12,3,3,3,0,1,0
24-Sep-12,4,1,1,0,0,0
24-Sep-12,5,4,2,1,1,3
24-Sep-12,6,9,1,2,2,7
