,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
42,1253,Yes,0.5,Yes,5,Yes,5.0,0.2,152,2,19,685,714,1878.0,15,0.0,4,Yes,Yes,No,1
43,1656,No,1.0,No,5,Yes,34.0,0.1,166,3,7,880,1456,1629.0,15,12.0,14,Yes,Yes,No,1
44,1195,Yes,2.8,No,1,Yes,20.0,0.8,110,2,14,1580,1652,504.0,9,3.0,12,Yes,Yes,No,0
45,1514,No,2.9,No,0,No,27.0,0.2,118,3,1,186,1810,1152.0,8,3.0,20,No,,Yes,1
46,1723,Yes,1.1,Yes,1,No,42.0,1.0,164,8,14,202,1791,3587.0,10,5.0,3,Yes,No,No,3
47,1054,Yes,1.8,Yes,3,Yes,40.0,0.8,196,7,10,27,774,2296.0,16,12.0,12,Yes,No,Yes,1
48,578,Yes,2.6,Yes,2,Yes,57.0,0.2,162,8,8,1025,1433,1270.0,15,3.0,5,Yes,No,Yes,0
49,596,No,2.1,Yes,9,No,64.0,0.8,111,8,15,885,1854,3238.0,16,13.0,10,No,,No,3
50,1547,Yes,3.0,Yes,2,Yes,14.0,0.7,198,3,19,1042,1832,2059.0,5,0.0,15,Yes,No,Yes,2
51,1760,No,1.4,Yes,5,No,63.0,0.8,127,8,19,1382,1383,2053.0,19,12.0,16,No,Yes,No,2
52,1654,Yes,1.5,Yes,0,Yes,43.0,0.3,109,2,0,546,629,3112.0,12,5.0,10,Yes,Yes,No,3
53,1457,No,1.9,Yes,1,Yes,,,102,3,10,1013,1287,1440.0,17,8.0,12,Yes,No,Yes,1
54,1073,Yes,0.5,Yes,0,No,51.0,0.5,145,7,0,690,804,2908.0,6,0.0,18,No,Yes,No,2
55,1936,No,2.1,Yes,10,Yes,46.0,0.6,104,3,20,667,1036,2552.0,14,7.0,13,Yes,No,No,2
56,823,Yes,2.7,Yes,13,No,60.0,0.5,148,8,19,822,1449,905.0,14,11.0,17,Yes,Yes,Yes,0
57,987,No,1.3,Yes,0,Yes,61.0,0.4,107,3,9,581,820,,9,4.0,20,Yes,No,Yes,3
58,1757,No,0.5,No,8,No,49.0,0.5,180,6,14,265,713,2056.0,7,5.0,4,No,No,No,1
59,1063,No,1.4,Yes,2,Yes,,1.0,128,5,4,127,683,2910.0,15,13.0,9,Yes,Yes,Yes,2
60,1484,No,3.0,No,3,No,,0.6,134,3,5,916,969,1457.0,14,4.0,20,Yes,Yes,No,1
61,799,Yes,2.3,No,1,Yes,63.0,0.8,144,8,6,361,975,431.0,15,6.0,6,Yes,Yes,Yes,0
62,1156,Yes,1.2,Yes,0,Yes,50.0,0.8,159,2,0,322,547,470.0,7,0.0,15,Yes,Yes,No,0
63,1720,No,2.0,No,15,Yes,55.0,0.5,168,2,18,753,1353,2148.0,14,2.0,5,Yes,Yes,Yes,2
64,702,No,2.6,Yes,2,Yes,9.0,0.7,141,3,3,504,1570,,10,4.0,19,Yes,No,No,2
65,616,No,1.9,Yes,13,Yes,44.0,0.8,81,3,17,651,1618,3366.0,18,8.0,13,Yes,Yes,No,3
66,1358,Yes,0.5,No,11,Yes,36.0,0.3,155,4,14,1565,1858,3068.0,9,4.0,4,Yes,Yes,No,3
67,1866,No,1.4,No,0,No,30.0,0.5,182,3,0,108,1781,3834.0,16,11.0,8,No,No,No,3
68,1242,No,1.1,Yes,0,No,10.0,0.6,165,2,1,459,1225,1050.0,11,1.0,4,Yes,No,Yes,0
69,1166,No,1.5,Yes,0,Yes,43.0,0.8,80,4,1,205,603,3993.0,7,1.0,7,Yes,Yes,No,3
70,1448,Yes,0.5,Yes,6,Yes,45.0,0.8,138,7,11,570,1724,3378.0,13,11.0,2,Yes,Yes,Yes,3
71,1407,Yes,2.4,No,1,Yes,22.0,0.7,104,4,4,1172,1217,2192.0,9,7.0,13,Yes,No,Yes,2
72,605,No,1.0,No,8,Yes,9.0,0.1,142,3,16,160,1026,392.0,15,6.0,4,Yes,No,No,0
73,1038,No,1.2,No,3,No,43.0,0.7,141,1,5,4,638,3709.0,11,0.0,12,Yes,,Yes,3
74,797,Yes,2.9,Yes,4,No,38.0,0.5,90,4,6,763,1413,590.0,9,2.0,6,No,Yes,No,0
75,819,No,0.6,Yes,8,Yes,42.0,0.9,188,6,20,339,1242,1814.0,5,4.0,13,Yes,No,Yes,1
76,1114,No,2.8,No,4,Yes,9.0,0.4,197,3,15,1040,1071,907.0,10,7.0,17,Yes,Yes,No,0
77,1234,Yes,1.6,Yes,1,No,33.0,0.6,172,1,3,166,778,1449.0,11,7.0,6,No,No,Yes,0
78,1199,Yes,2.5,Yes,15,Yes,16.0,0.2,116,4,20,1168,1552,3448.0,17,13.0,10,Yes,No,Yes,3
79,1103,No,1.0,Yes,6,No,29.0,0.7,111,6,8,990,1486,1837.0,8,7.0,16,No,Yes,Yes,1
80,1589,Yes,0.6,Yes,0,Yes,58.0,0.9,85,7,7,319,1206,3464.0,19,10.0,6,Yes,Yes,Yes,3
81,999,No,2.9,Yes,11,Yes,64.0,0.2,199,4,19,1397,1616,2593.0,14,11.0,16,Yes,Yes,No,2
82,1510,Yes,0.9,Yes,2,No,45.0,0.9,180,5,3,708,1752,3484.0,9,6.0,11,No,Yes,Yes,3
83,1008,No,0.8,No,11,No,61.0,1.0,114,3,15,1077,1122,2009.0,10,3.0,11,Yes,No,No,1
84,1127,Yes,2.9,Yes,5,Yes,57.0,0.8,163,1,13,928,1049,2048.0,11,5.0,17,Yes,Yes,Yes,1
85,1412,Yes,2.4,No,5,No,25.0,0.8,96,8,17,516,1894,837.0,15,9.0,4,No,No,Yes,1
86,1496,Yes,2.0,Yes,4,No,42.0,0.5,182,5,5,96,741,854.0,16,0.0,7,No,Yes,Yes,0
87,1083,Yes,2.9,Yes,1,Yes,64.0,0.8,178,3,11,1025,1118,,13,3.0,4,Yes,No,No,3
88,668,No,0.5,Yes,0,No,3.0,0.1,155,5,13,666,1203,2746.0,9,5.0,8,Yes,Yes,Yes,2
89,1309,No,1.1,Yes,0,No,33.0,0.5,100,4,14,557,1402,2334.0,10,1.0,11,Yes,No,Yes,2
90,1724,No,2.0,Yes,2,Yes,57.0,0.5,177,3,5,1605,1924,2822.0,19,3.0,16,Yes,Yes,No,3
91,1977,Yes,2.0,Yes,7,Yes,54.0,1.0,171,7,18,1226,1242,1971.0,18,7.0,14,Yes,Yes,No,2
92,885,No,2.3,Yes,0,Yes,15.0,0.4,103,7,0,769,802,1410.0,16,10.0,5,Yes,,Yes,0
93,879,Yes,2.5,No,11,Yes,14.0,0.7,83,6,15,403,1105,349.0,16,10.0,2,Yes,No,Yes,0
94,1322,No,1.7,Yes,6,No,7.0,0.8,140,3,9,177,1990,1418.0,19,17.0,12,No,Yes,No,1
95,1137,Yes,1.0,No,18,No,7.0,1.0,196,3,19,942,1179,3616.0,13,5.0,12,Yes,Yes,Yes,3
96,1355,No,2.3,No,10,Yes,23.0,0.2,132,5,16,651,891,880.0,19,,8,Yes,Yes,No,0
97,1665,Yes,0.5,No,3,Yes,60.0,0.2,194,6,18,1572,1684,1601.0,18,17.0,14,Yes,No,No,2
98,657,No,2.5,No,0,No,37.0,0.7,141,2,1,476,961,1412.0,14,3.0,18,No,Yes,No,0
99,593,No,0.5,No,6,No,31.0,0.4,156,7,7,1233,1317,1692.0,6,,7,Yes,No,No,1
100,1883,Yes,0.5,No,3,Yes,10.0,0.3,146,6,13,836,1739,,16,8.0,20,Yes,No,No,3
101,1732,Yes,1.1,No,4,Yes,12.0,0.8,119,8,9,824,881,,16,7.0,11,Yes,No,Yes,1
102,543,No,0.5,No,0,No,57.0,0.7,192,5,4,391,984,2413.0,17,14.0,15,Yes,No,No,1
103,1939,Yes,2.8,Yes,0,Yes,55.0,0.6,199,4,10,320,520,1047.0,14,10.0,18,Yes,,No,0
104,553,No,2.4,Yes,1,Yes,8.0,0.5,121,7,3,325,902,1204.0,11,4.0,8,Yes,Yes,Yes,0
105,832,No,0.7,Yes,2,Yes,39.0,0.7,103,4,3,125,1504,,5,2.0,11,Yes,No,Yes,1
106,1661,No,1.9,Yes,5,No,23.0,1.0,172,5,10,846,1634,2676.0,12,6.0,11,No,Yes,Yes,3
107,1657,Yes,2.4,No,3,No,42.0,0.1,198,5,16,1770,1796,2597.0,18,1.0,14,Yes,No,No,3
108,1135,Yes,2.0,Yes,0,No,46.0,0.3,83,1,4,293,1846,3029.0,19,17.0,9,Yes,Yes,Yes,3
109,1775,Yes,1.5,No,3,No,41.0,0.1,163,1,7,1633,1869,,19,13.0,14,Yes,Yes,Yes,3
110,783,No,1.8,Yes,0,Yes,43.0,1.0,106,3,4,1198,1471,2016.0,16,4.0,18,Yes,Yes,No,1
111,617,Yes,2.3,No,0,No,32.0,,199,7,20,768,874,2213.0,18,13.0,7,No,No,No,1
112,867,No,1.4,Yes,0,Yes,4.0,0.7,135,6,1,70,1974,790.0,13,6.0,3,Yes,Yes,No,0
113,1310,Yes,1.1,Yes,13,No,7.0,1.0,194,5,14,117,513,3182.0,8,4.0,5,Yes,Yes,No,2
114,1804,No,0.5,No,9,Yes,22.0,0.6,153,7,19,1158,1244,3472.0,9,1.0,20,Yes,No,Yes,3
115,1900,Yes,2.3,No,1,Yes,18.0,0.2,89,7,9,1055,1661,2871.0,12,1.0,13,Yes,Yes,Yes,3
116,909,Yes,1.4,No,0,No,,0.3,82,8,0,635,973,3187.0,12,9.0,4,Yes,No,No,2
117,1084,Yes,2.6,No,3,Yes,40.0,0.9,107,3,11,322,771,1945.0,15,4.0,10,Yes,Yes,No,1
118,1308,No,1.3,Yes,8,No,46.0,0.9,199,1,12,275,989,488.0,5,3.0,9,No,Yes,No,0
119,1778,No,0.5,No,0,No,15.0,0.5,102,3,0,1445,1954,1214.0,5,0.0,14,Yes,No,No,1
120,1701,Yes,1.6,Yes,3,No,10.0,0.3,194,8,7,550,1338,2598.0,12,9.0,6,No,Yes,No,2
121,772,Yes,2.4,Yes,1,Yes,10.0,0.5,80,4,2,1242,1712,3242.0,18,11.0,4,Yes,Yes,No,3
122,825,Yes,0.5,Yes,7,No,52.0,0.9,130,3,10,597,863,3534.0,10,4.0,6,No,Yes,No,3
123,1379,No,1.1,No,5,Yes,36.0,0.8,200,2,7,538,1376,3426.0,5,4.0,17,Yes,Yes,Yes,3
124,1166,No,2.0,No,3,Yes,25.0,0.8,198,5,4,59,1203,2488.0,13,5.0,15,Yes,No,No,2
125,1659,No,2.8,No,5,No,16.0,0.6,89,1,20,819,902,3255.0,19,14.0,9,No,No,Yes,3
126,826,Yes,2.4,Yes,0,Yes,58.0,0.3,88,4,1,179,786,2863.0,9,3.0,18,Yes,No,Yes,2
127,1564,No,2.3,No,4,Yes,25.0,0.5,189,6,17,1259,1965,1496.0,6,4.0,7,Yes,Yes,Yes,1
128,1957,No,0.9,Yes,11,No,31.0,0.6,181,3,16,396,1732,3801.0,12,0.0,7,Yes,No,Yes,3
129,1571,No,1.4,No,0,Yes,19.0,0.1,100,6,1,713,1398,,12,10.0,13,Yes,Yes,No,0
130,1414,No,2.0,Yes,2,No,54.0,0.8,99,7,3,262,829,3799.0,17,7.0,7,Yes,No,Yes,3
131,1790,No,2.5,Yes,9,No,2.0,0.1,184,1,14,622,792,1366.0,7,0.0,20,Yes,Yes,Yes,1
132,645,No,0.5,No,1,No,41.0,1.0,197,7,10,327,580,2962.0,12,9.0,4,Yes,Yes,Yes,2
133,668,No,2.9,Yes,7,No,30.0,0.2,195,8,12,522,1056,2399.0,10,5.0,7,Yes,Yes,Yes,1
134,1652,Yes,1.1,Yes,1,No,36.0,0.7,89,4,5,313,1264,2338.0,12,8.0,20,No,No,No,2
135,1213,Yes,0.5,No,0,No,16.0,0.5,108,5,0,226,1248,2700.0,12,3.0,9,No,No,Yes,2
136,1272,Yes,2.5,Yes,0,No,22.0,0.9,133,6,8,605,669,2235.0,19,4.0,4,Yes,,No,1
137,866,No,0.5,Yes,5,Yes,46.0,0.5,179,8,7,692,1686,3825.0,12,11.0,2,Yes,Yes,Yes,3
138,536,No,2.4,Yes,12,Yes,3.0,0.3,182,7,14,1386,1539,,12,9.0,4,Yes,Yes,No,0
139,523,No,2.6,Yes,1,No,14.0,0.1,155,8,2,304,1042,1427.0,9,1.0,9,No,Yes,No,0
140,1753,No,0.5,Yes,0,Yes,31.0,0.1,134,1,18,1590,1926,1324.0,17,0.0,17,Yes,No,Yes,2
141,1218,No,1.8,Yes,1,Yes,14.0,0.5,147,3,4,229,616,398.0,17,0.0,5,Yes,No,No,0
142,1537,Yes,2.5,No,4,Yes,43.0,0.3,137,1,5,839,1131,3685.0,18,17.0,17,Yes,Yes,Yes,3
143,786,No,2.2,Yes,0,No,33.0,0.5,141,7,6,507,1697,2390.0,12,11.0,5,Yes,No,Yes,2
144,1678,No,2.1,No,3,Yes,64.0,0.9,134,3,11,436,536,278.0,19,0.0,10,Yes,Yes,No,0
145,1814,No,1.4,Yes,1,Yes,9.0,0.4,141,2,2,756,786,3556.0,18,12.0,16,Yes,No,No,3
146,1101,No,1.8,No,0,No,31.0,0.2,148,2,7,387,1269,2196.0,12,6.0,19,No,Yes,Yes,1
147,1461,No,2.4,Yes,3,Yes,40.0,0.5,141,7,4,1265,1298,3799.0,16,1.0,4,Yes,No,No,3
148,1216,No,3.0,No,4,No,47.0,0.4,199,3,7,1852,1967,2268.0,13,5.0,4,No,,Yes,2
149,506,No,1.6,No,6,Yes,41.0,0.8,159,1,7,875,1025,2965.0,13,10.0,15,Yes,No,No,2
150,843,Yes,0.5,No,1,Yes,56.0,0.1,147,5,17,140,800,2341.0,10,1.0,20,Yes,Yes,Yes,1
151,742,No,2.2,Yes,4,No,56.0,0.2,190,7,14,577,1359,3557.0,16,11.0,12,No,,Yes,3
152,1692,Yes,2.1,No,3,Yes,61.0,0.9,176,6,12,975,1996,1354.0,16,,19,Yes,No,No,1
153,1485,No,1.0,No,2,Yes,,0.7,84,2,9,510,1013,2147.0,19,,11,Yes,Yes,No,2
154,1547,No,2.9,Yes,6,No,45.0,,166,2,8,583,590,505.0,12,2.0,3,No,Yes,Yes,0
155,1692,No,2.3,Yes,4,Yes,46.0,0.9,139,1,6,674,1925,1394.0,16,10.0,6,Yes,Yes,No,1
156,637,No,2.3,No,3,Yes,60.0,0.8,97,4,4,1125,1989,,18,4.0,8,Yes,No,Yes,0
157,1224,No,0.5,No,16,Yes,6.0,0.4,109,6,18,747,826,506.0,10,,11,Yes,Yes,Yes,0
158,1356,No,2.8,No,0,No,29.0,0.5,198,6,0,1612,1983,3702.0,17,0.0,19,No,No,No,3
159,1840,No,0.5,Yes,12,No,34.0,0.7,142,1,16,311,1545,1078.0,8,0.0,10,No,No,No,1
160,1481,Yes,0.7,Yes,4,Yes,37.0,0.6,96,5,13,116,1533,2945.0,10,,16,Yes,Yes,Yes,2
161,961,Yes,1.5,Yes,10,No,51.0,0.3,152,6,16,554,621,2981.0,15,6.0,7,Yes,Yes,Yes,2
162,1296,No,0.9,Yes,0,Yes,14.0,0.5,124,5,3,811,1272,490.0,7,1.0,4,Yes,Yes,Yes,0
163,1193,No,0.9,No,11,No,26.0,0.5,166,1,20,730,1729,536.0,17,14.0,4,Yes,,Yes,0
164,1441,No,2.1,Yes,11,Yes,3.0,0.1,118,8,17,577,1071,2317.0,16,4.0,7,Yes,No,Yes,2
165,517,No,1.4,Yes,3,Yes,33.0,0.8,183,4,8,660,974,3704.0,17,16.0,11,Yes,No,Yes,3
166,748,Yes,1.7,No,0,Yes,27.0,0.9,150,8,4,450,1554,2126.0,18,9.0,7,Yes,No,No,1
167,1126,Yes,2.4,No,2,Yes,10.0,0.4,160,6,3,1223,1611,2050.0,7,6.0,12,Yes,,Yes,2
168,1572,No,0.6,No,0,Yes,58.0,0.2,157,7,8,1109,1937,2462.0,12,8.0,10,Yes,No,No,3
169,1569,No,2.8,Yes,17,No,44.0,0.3,110,4,20,45,1942,1260.0,9,2.0,17,Yes,No,No,1
170,1270,Yes,0.6,Yes,2,Yes,32.0,0.5,101,7,6,299,845,3770.0,5,3.0,13,Yes,Yes,No,3
171,1854,No,3.0,No,2,Yes,8.0,0.1,101,5,5,506,627,1886.0,17,4.0,20,Yes,Yes,No,1
172,625,Yes,1.2,Yes,5,Yes,10.0,0.2,183,4,8,635,842,3323.0,9,1.0,7,Yes,Yes,Yes,2
173,1577,No,0.5,Yes,0,Yes,42.0,0.3,197,5,4,1045,1737,2060.0,19,6.0,12,Yes,No,No,2
174,534,No,0.5,Yes,0,Yes,16.0,1.0,189,5,1,393,1199,3926.0,16,12.0,20,Yes,No,No,3
175,946,No,1.7,Yes,8,Yes,25.0,0.8,143,6,15,650,1740,2177.0,7,5.0,13,Yes,Yes,Yes,2
176,685,No,0.5,No,2,No,29.0,0.8,93,7,10,433,648,728.0,14,8.0,4,No,No,Yes,0
177,1949,No,1.3,Yes,0,No,23.0,0.1,101,5,1,839,1136,2478.0,14,8.0,20,Yes,No,No,3
178,947,No,0.8,Yes,0,Yes,22.0,0.1,197,2,13,1176,1220,2842.0,16,12.0,2,Yes,No,No,2
179,801,Yes,2.2,Yes,2,No,63.0,0.4,165,7,4,650,879,1617.0,17,4.0,19,No,No,Yes,1
180,703,Yes,2.7,No,12,Yes,30.0,0.3,113,1,20,218,1065,1472.0,14,7.0,7,Yes,No,No,0
181,1165,Yes,2.4,No,11,No,,0.2,178,6,12,564,831,764.0,19,12.0,15,Yes,,No,0
182,1082,No,0.8,No,0,No,38.0,0.1,198,8,5,986,1191,2337.0,6,1.0,17,No,Yes,Yes,2
183,959,Yes,2.6,Yes,15,No,20.0,1.0,84,4,19,561,1631,3965.0,16,1.0,6,Yes,No,No,3
184,1502,Yes,1.2,No,0,No,54.0,0.2,138,5,12,65,588,3693.0,17,14.0,16,Yes,Yes,No,3
185,1380,Yes,2.1,Yes,1,Yes,4.0,0.8,92,3,13,420,500,797.0,13,2.0,15,Yes,Yes,No,0
186,1266,No,0.5,No,0,Yes,5.0,0.1,95,6,9,1365,1698,1687.0,11,0.0,18,Yes,No,No,2
187,1934,Yes,2.6,Yes,0,Yes,46.0,0.1,103,1,17,619,1299,2940.0,13,9.0,2,Yes,Yes,Yes,3
188,1905,Yes,0.5,No,3,Yes,6.0,0.5,151,1,5,849,898,1545.0,9,5.0,10,Yes,Yes,No,1
189,1831,No,1.4,Yes,2,No,43.0,0.9,150,5,5,611,1381,3834.0,17,7.0,13,Yes,Yes,Yes,3
190,596,No,1.4,No,8,No,46.0,0.6,165,1,18,953,984,2505.0,15,4.0,15,Yes,Yes,No,1
191,1562,Yes,1.3,Yes,1,Yes,,0.2,190,5,15,642,1533,2243.0,12,10.0,6,Yes,No,No,2
192,1490,Yes,0.5,Yes,4,Yes,64.0,0.3,150,8,8,1417,1464,,17,9.0,7,Yes,Yes,Yes,3
193,1523,Yes,2.4,No,5,Yes,57.0,0.2,117,2,6,247,539,3971.0,18,12.0,10,Yes,Yes,Yes,3
194,640,No,0.6,No,0,No,20.0,0.1,163,4,15,710,1179,2844.0,7,5.0,18,Yes,Yes,No,2
195,1526,No,2.1,No,1,Yes,23.0,0.2,117,7,8,718,751,2227.0,18,10.0,3,Yes,Yes,No,2
196,1989,No,2.5,Yes,0,Yes,41.0,0.8,94,3,13,1100,1497,,17,9.0,12,Yes,Yes,Yes,2
197,1308,No,1.9,No,0,Yes,61.0,0.7,106,3,7,59,1215,3355.0,15,2.0,4,Yes,No,Yes,3
198,609,No,0.5,No,3,No,26.0,0.3,93,4,4,938,1948,1866.0,11,10.0,14,Yes,Yes,Yes,1
199,1905,No,0.6,Yes,9,Yes,36.0,0.4,119,3,20,825,1542,1287.0,13,4.0,16,Yes,No,No,1
200,1703,Yes,0.5,No,0,Yes,22.0,0.6,192,1,0,286,1235,1046.0,5,4.0,13,Yes,No,Yes,0
201,1445,Yes,2.4,Yes,7,Yes,20.0,0.4,173,7,15,1273,1345,1441.0,7,4.0,13,Yes,Yes,Yes,1
202,1087,No,1.3,No,0,Yes,16.0,0.3,166,3,9,295,589,690.0,14,6.0,6,Yes,No,Yes,0
203,671,No,0.9,Yes,10,No,30.0,0.7,105,7,17,852,1182,2504.0,6,4.0,15,Yes,No,No,2
204,1472,Yes,2.3,No,6,No,61.0,0.1,168,6,19,710,1052,2677.0,19,15.0,8,Yes,No,No,2
205,765,No,0.5,Yes,0,Yes,47.0,0.3,115,8,1,1277,1429,2243.0,11,7.0,4,Yes,No,Yes,2
206,1642,No,0.5,Yes,16,Yes,8.0,0.3,171,6,17,129,873,2984.0,13,4.0,17,Yes,No,Yes,2
207,1265,No,1.5,No,7,No,49.0,0.7,182,5,16,690,836,1362.0,5,0.0,12,No,,Yes,1
208,664,Yes,1.1,Yes,1,Yes,51.0,0.1,110,7,4,701,1478,3629.0,19,15.0,6,Yes,Yes,Yes,3
209,1277,Yes,0.5,Yes,0,Yes,35.0,0.4,142,6,6,309,1460,3559.0,18,17.0,6,Yes,Yes,No,3
210,1395,No,1.8,Yes,0,No,23.0,0.1,111,3,1,213,705,2571.0,11,0.0,13,Yes,No,Yes,2
211,1539,Yes,2.6,No,0,No,41.0,0.1,159,8,0,1112,1666,2107.0,15,9.0,10,Yes,No,Yes,2
212,1049,Yes,2.2,No,9,No,,0.5,135,5,17,199,1077,1022.0,11,3.0,13,No,No,No,0
213,1827,No,1.7,No,4,Yes,39.0,,128,5,16,55,1020,2844.0,14,9.0,10,Yes,Yes,No,2
214,903,No,1.0,Yes,0,Yes,50.0,0.4,91,1,0,1230,1235,711.0,9,5.0,10,Yes,Yes,No,0
215,1987,Yes,0.5,No,3,Yes,53.0,1.0,181,3,7,1052,1516,3117.0,18,,8,Yes,Yes,Yes,3
216,1154,No,1.2,Yes,0,Yes,49.0,0.2,181,8,2,541,1499,978.0,5,3.0,7,Yes,No,Yes,0
217,1336,No,0.9,No,5,Yes,17.0,0.2,194,5,9,55,583,1869.0,13,,16,Yes,Yes,Yes,1
218,1886,No,0.5,No,0,Yes,24.0,0.4,112,3,1,809,1958,1179.0,16,7.0,20,Yes,No,Yes,1
219,1551,No,1.1,No,4,No,51.0,0.1,88,5,6,1738,1995,3844.0,11,8.0,4,No,Yes,No,3
